ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
37	2171	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	20.385945667		
38	2469	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	250.087424792		
39	2796	K6	ABORT	-1	-1	2	2	13	11	0	2	208781	0	146.447833708		
40	2897	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	54.501587500		
41	2997	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	25.062069709		
42	3160	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	7.515101417		
43	3202	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	32.204198459		
44	3336	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	106.526916667		
45	3413	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	19.443736708		
46	3425	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	57.370757291		
47	3704	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	8.308229833		
48	3708	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	6.290121792		
49	3866	K6	ABORT	-1	-1	2	2	13	11	0	2	214996	0	53.288670459		
50	3949	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.599964959		
51	3957	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	9.272245500		
52	3960	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.126464417		
53	4153	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	62.231013416		
54	4355	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	16.142674333		
55	4464	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	12.188417125		
56	4544	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	30.137617417		
57	4627	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	74.468294833		
58	4738	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	51.255860041		
59	4805	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	83.407080458		
60	4823	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	20.797835083		
61	5086	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	35.842817875		
62	5110	K7	ABORT	-1	-1	4	4	18	14	0	4	404323	0	94.926327042		
63	5153	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	123.898323333		
64	5277	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	26.304574791		
65	5446	K7	ABORT	-1	-1	2	2	12	10	0	2	200652	0	64.776856000		
66	5666	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	16.034163917		
67	5673	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	7.233019000		
68	5703	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	24.332697625		
69	5802	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	155.334299542		
70	5821	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	76.379473458		
71	5826	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	54.390047209		
72	5835	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	15.620438000		
73	6301	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	56.409053667		
74	6352	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	12.625777750		
75	6383	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	18.236500458		
76	6461	K6	ABORT	-1	-1	2	2	3	1	0	2	230964	0	24.227161666		
77	6691	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	17.087045334		
78	6725	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	16.607046833		
79	6754	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	34.821319000		
80	6857	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	55.654109166		
81	6952	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	23.296383708		
82	7077	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	15.250301958		
83	7087	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	46.036891166		
84	7095	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	32.822724667		
85	7113	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	17.134082750		
86	7259	K6	UNRESOLVED	-1	-1	0	0	0	0	0	0	0	0	0.001453458		
87	7322	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	68.426144167		
88	7326	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	12.351997667		
89	7348	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.244580333		
90	7349	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.198298125		
91	7350	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.302068875		
92	7351	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	11.734497041		
93	7352	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	11.556179917		
94	7353	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.433050667		
95	7354	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	10.662476792		
96	7356	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	11.913300500		
97	7487	K6	ABORT	-1	-1	2	2	24	22	0	2	222536	0	35.627151125		
98	7492	K6	ABORT	-1	-1	2	2	7	5	0	2	269684	0	36.106713916		
99	7638	K6	ABORT	-1	-1	2	2	2	0	0	2	200002	0	38.883615375		
