index	applicable	baseline_decision	refined_decision	first_baseline_failing_seed	first_refined_failing_seed	seeds	covers	baseline_passing_covers	refined_passing_covers	newly_failed_covers	support_families_checked	propagated_coordinate_deletions	refinement_cache_hits	assignment_fail_empty_propagated_mask	assignment_fail_disjoint_required_edge	assignment_fail_clique	assignment_fail_degree	assignment_fail_basis	assignment_fail_mask	assignment_fail_subspace_K	assignment_fail_component_B
1167251	1	REJECTED	REJECTED	201424	201424	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3380741	1	REJECTED	REJECTED	268618	268618	3	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
837353	1	REJECTED	REJECTED	428194	428194	2	325	1	1	0	1	0	0	0	0	0	0	0	0	0	0
2948789	1	REJECTED	REJECTED	59480	59480	1	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1841782	1	REJECTED	REJECTED	280792	280792	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3942398	1	REJECTED	REJECTED	149017	149017	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
833562	1	REJECTED	REJECTED	135973	135973	2	139	2	2	0	43	168	0	0	41	0	0	0	0	0	0
2750225	1	REJECTED	REJECTED	144320	144320	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3830059	1	REJECTED	REJECTED	397849	397849	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
587504	1	REJECTED	REJECTED	82725	82725	3	391	2	2	0	28	116	0	0	26	0	0	0	0	0	0
1152953	1	REJECTED	REJECTED	75428	75428	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2760238	1	REJECTED	REJECTED	182360	182360	2	122	7	4	3	6808	65709	0	5629	1175	0	0	0	0	0	0
772838	1	REJECTED	REJECTED	70437	70437	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
561390	1	REJECTED	REJECTED	405769	405769	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3627259	1	REJECTED	REJECTED	280906	280906	4	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3704179	1	REJECTED	REJECTED	268618	268618	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
479803	1	REJECTED	REJECTED	54360	54360	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3128141	1	SURVIVOR	SURVIVOR	0	0	2	186	6	4	2	110	494	0	0	106	0	0	0	0	0	0
3840385	1	REJECTED	REJECTED	344601	344601	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3886790	1	REJECTED	REJECTED	99865	99865	3	269	2	2	0	43	168	0	0	41	0	0	0	0	0	0
3390230	1	REJECTED	REJECTED	204839	204839	3	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1050878	1	REJECTED	REJECTED	160912	160912	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3027908	1	REJECTED	REJECTED	346123	346123	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1311853	1	REJECTED	REJECTED	173204	173204	2	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3819305	1	REJECTED	REJECTED	84180	84180	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
476117	1	REJECTED	REJECTED	229451	229451	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
722990	1	REJECTED	REJECTED	275205	275205	2	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3707945	1	REJECTED	REJECTED	268618	268618	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3819413	1	REJECTED	REJECTED	84180	84180	2	110	3	1	2	22	77	0	0	21	0	0	0	0	0	0
3423153	1	SURVIVOR	SURVIVOR	0	0	1	176	2	2	0	35	156	0	0	33	0	0	0	0	0	0
2251875	1	REJECTED	REJECTED	215051	215051	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128297	1	SURVIVOR	SURVIVOR	0	0	1	93	2	2	0	98	371	0	0	96	0	0	0	0	0	0
2744629	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	28	126	0	0	26	0	0	0	0	0	0
2395460	1	REJECTED	REJECTED	336933	336933	2	260	2	1	1	6	24	0	0	5	0	0	0	0	0	0
1596617	1	REJECTED	REJECTED	205091	205091	5	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220559	1	REJECTED	REJECTED	74827	74827	5	400	1	1	0	1	0	0	0	0	0	0	0	0	0	0
2594493	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	17	78	0	0	15	0	0	0	0	0	0
912798	1	SURVIVOR	SURVIVOR	0	0	1	93	2	2	0	35	155	0	0	33	0	0	0	0	0	0
1950388	1	REJECTED	REJECTED	172197	172197	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3834364	1	REJECTED	REJECTED	280788	280788	1	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1279804	1	REJECTED	REJECTED	283796	283796	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2050149	1	REJECTED	REJECTED	401573	401573	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
